School name,ASP,AA,School Type,Regional council,Territorial authority,Financial Service Provider,Location
Waimate High School #362,BDO,Aaron Higham,Secondary - State,Canterbury Region,Waimate District,Solutions and Services,"-44.73745, 171.047272"
Saint Kevins College (Oamaru) #369,BDO,Aaron Higham,Secondary - State : Integrated,Otago Region,Waitaki District,Solutions and Services,"-45.064918, 170.983153"
Bayfield High School #382,BDO,Aaron Higham,Secondary - State,Otago Region,Dunedin City,Solutions and Services,"-45.895969, 170.523191"
Blue Mountain College #391,BDO,Aaron Higham,Secondary - State,Otago Region,Clutha District,Solutions and Services,"-45.939858, 169.258764"
Tokomairiro High School #392,BDO,Aaron Higham,Secondary - State,Otago Region,Clutha District,Solutions and Services,"-46.113193, 169.966921"
South Otago High School #393,BDO,Aaron Higham,Secondary - State,Otago Region,Clutha District,Solutions and Services,"-46.246237, 169.728524"
The Catlins Area School #394,BDO,Aaron Higham,Composite - State,Otago Region,Clutha District,Solutions and Services,"-46.45314, 169.661394"
Northern Southland College #395,BDO,Aaron Higham,Secondary - State,Southland Region,Southland District,Findex Ltd,"-45.744018, 168.448746"
Central Southland College #399,BDO,Aaron Higham,Secondary - State,Southland Region,Southland District,Education Finance,"-46.137197, 168.320121"
Menzies College #401,BDO,Aaron Higham,Secondary - State,Southland Region,Southland District,Solutions and Services,"-46.324828, 168.845934"
Southland Boys' High School #404,BDO,Aaron Higham,Secondary - State,Southland Region,Invercargill City,In-House provision,"-46.395635, 168.359101"
Southland Girls' High School #405,BDO,Aaron Higham,Secondary - State,Southland Region,Invercargill City,In-House provision,"-46.417471, 168.36516"
Aparima College #409,BDO,Aaron Higham,Secondary - State,Southland Region,Southland District,Solutions and Services,"-46.353612, 168.016613"
James Hargest College #552,BDO,Aaron Higham,Secondary - State,Southland Region,Invercargill City,Findex Ltd,"-46.390629, 168.384284"
Holy Family School (Wanaka) #557,BDO,Aaron Higham,Primary - State : Integrated,Otago Region,Queenstown-Lakes District,Solutions and Services,"-44.67979, 169.137627"
Te Kura Whakatipu O Kawarau #746,BDO,Aaron Higham,Primary - State,Otago Region,Queenstown-Lakes District,The School Office,"-45.067998, 168.745336"
Donovan Primary School #2119,BDO,Aaron Higham,Primary - State,Southland Region,Invercargill City,Solutions and Services,"-46.378906, 168.340624"
Te Kura Kaupapa Maori O Otepoti #2351,BDO,Aaron Higham,Composite - State - Kura/character,Otago Region,Dunedin City,Solutions and Services,"-45.900146, 170.410354"
Glenavy School #3348,BDO,Aaron Higham,Primary - State,Canterbury Region,Waimate District,Solutions and Services,"-44.914546, 171.098345"
Saint Andrews School #3519,BDO,Aaron Higham,Primary - State,Canterbury Region,Waimate District,Solutions and Services,"-44.528475, 171.188022"
Saint Patrick's School (Waimate) #3539,BDO,Aaron Higham,Primary - State : Integrated,Canterbury Region,Waimate District,Schooled - Christchurch,"-44.731442, 171.052432"
Waihao Downs School #3567,BDO,Aaron Higham,Primary - State,Canterbury Region,Waimate District,HC Partners Ltd,"-44.790963, 170.927483"
Waimate Centennial School #3573,BDO,Aaron Higham,Primary - State,Canterbury Region,Waimate District,On Point Accounting,"-44.729133, 171.038642"
